time,tweet
5/31/2020 18:48,"Thank you @MrChuckD for posting this. I’m sure the history for a lot of folks comes with shame, but America  needs… https://t.co/nIX3gMpwNd"
5/30/2020 0:08,#JusticeForGeorge #JusticeForGeorge #JusticeForGeorge
5/10/2020 21:57,Look at moms!! I remember when she bought this wig and swore she was Tina Turner😂. Happy Mothers Day to all the har… https://t.co/Rjey15YwQw
5/9/2020 20:08,Love you Little Richard. https://t.co/ql5PedKvzG
5/4/2020 18:03,Congrats on your #1 record Unc! #ForeverValentine!  Everyone show your love for the One and only @CharlieWilson !!!… https://t.co/Ef8JIZoZrQ
4/21/2020 2:48,I’m writing everyday... I promise.  ❤️ https://t.co/FbzDUfKIFY
4/21/2020 2:44,Nah https://t.co/TaVNB6PH5z
4/21/2020 2:42,We all won tonight witnessing @KennyEdmonds and @TeddyRiley1  go back and forth with pure greatness.
3/22/2020 5:26,RT @DwayneDuggerII: AYE we lit! 24K Magic! #ClubQuarantine @djdnice https://t.co/Pp8GXFpgFi
3/8/2020 11:16,🎲 ♥️ ♣️♦️♠️ 🎲 https://t.co/XHYm7gLSDJ
3/8/2020 11:10,Swipe to see all the vibes. https://t.co/Zexr37Swnc
2/26/2020 19:53,On The One! https://t.co/HxOrrtLAnB
2/26/2020 8:09,🥂 Thanks Fellas. https://t.co/30lh86ThNY
2/23/2020 16:47,All my love ❤️@naacpimageaward 🥂 Thank you. https://t.co/Obm0jtwaW0
2/14/2020 0:15,LOOK AT EM! @CharlieWilson  #ForeverValentine https://t.co/hRxKSnbjFe
2/12/2020 21:10,Beautiful! 🍾 Everyone go check out Uncle @CharlieWilson New video! #ForeverValentine https://t.co/SbATCbsf4u
2/11/2020 18:52,LETS GOOOOO!!!! https://t.co/xRrXK5dYdB
2/9/2020 3:41,Happy Birthday @AndersonPaak. I Bought you some DVDs.  let me know when u want me to drop it off.
2/7/2020 1:43,Let’s go unc!!!!! https://t.co/ehYBqB1uUC
2/6/2020 17:34,"“If your heart is in your dream 
No request is too extreme 
When you wish upon a Star”🎶 #MarsMeetsTheMouse… https://t.co/C1RthzLHGO"
